week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
4,2014,9,4,1,3915,SD,JAX,1,AFC-WEST,AFC-SOUTH,91,1,10,0,center,3,Regular
4,2014,9,4,1,3863,SD,JAX,1,AFC-WEST,AFC-SOUTH,83,2,17,1,short right,9,Regular
4,2014,9,4,1,3833,SD,JAX,1,AFC-WEST,AFC-SOUTH,93,3,8,1,short left,0,Regular
4,2014,9,5,1,3817,JAX,SD,0,AFC-SOUTH,AFC-WEST,26,1,10,1,short left,6,Regular
4,2014,9,5,1,3773,JAX,SD,0,AFC-SOUTH,AFC-WEST,32,2,4,0,right tackle,10,Regular
4,2014,9,5,1,3746,JAX,SD,0,AFC-SOUTH,AFC-WEST,43,1,10,1,short left,0,Regular
4,2014,9,5,1,3738,JAX,SD,0,AFC-SOUTH,AFC-WEST,43,2,10,1,short right,2,Regular
4,2014,9,5,1,3696,JAX,SD,0,AFC-SOUTH,AFC-WEST,54,3,8,1,short right,13,Regular
4,2014,9,5,1,3665,JAX,SD,0,AFC-SOUTH,AFC-WEST,69,1,10,1,deep middle,22,Regular
4,2014,9,5,1,3624,JAX,SD,0,AFC-SOUTH,AFC-WEST,93,1,10,0,left tackle,10,Regular
4,2014,9,5,2,3600,JAX,SD,0,AFC-SOUTH,AFC-WEST,55,1,5,0,center,4,Regular
4,2014,9,5,2,3566,JAX,SD,0,AFC-SOUTH,AFC-WEST,99,2,1,0,center,0,Regular
4,2014,9,5,2,3551,JAX,SD,0,AFC-SOUTH,AFC-WEST,99,3,1,0,left tackle,1,Regular
4,2014,9,6,2,3540,SD,JAX,1,AFC-WEST,AFC-SOUTH,9,1,10,1,short left,1,Regular
4,2014,9,6,2,3510,SD,JAX,1,AFC-WEST,AFC-SOUTH,10,2,9,1,short middle,8,Regular
4,2014,9,6,2,3471,SD,JAX,1,AFC-WEST,AFC-SOUTH,19,3,1,0,right tackle,3,Regular
4,2014,9,6,2,3432,SD,JAX,1,AFC-WEST,AFC-SOUTH,22,1,10,1,deep middle,24,Regular
4,2014,9,6,2,3397,SD,JAX,1,AFC-WEST,AFC-SOUTH,58,1,10,1,deep left,47,Regular
4,2014,9,7,2,3378,JAX,SD,0,AFC-SOUTH,AFC-WEST,17,1,10,0,left tackle,8,Regular
4,2014,9,7,2,3336,JAX,SD,0,AFC-SOUTH,AFC-WEST,26,2,2,0,left tackle,5,Regular
4,2014,9,7,2,3303,JAX,SD,0,AFC-SOUTH,AFC-WEST,31,1,10,1,short middle,12,Regular
4,2014,9,7,2,3268,JAX,SD,0,AFC-SOUTH,AFC-WEST,44,1,10,1,short right,3,Regular
4,2014,9,7,2,3235,JAX,SD,0,AFC-SOUTH,AFC-WEST,57,2,7,0,center,2,Regular
4,2014,9,7,2,3184,JAX,SD,0,AFC-SOUTH,AFC-WEST,59,3,5,1,deep middle,44,Regular
4,2014,9,7,2,3149,JAX,SD,0,AFC-SOUTH,AFC-WEST,88,1,2,1,short left,2,Regular
4,2014,9,8,2,3137,SD,JAX,1,AFC-WEST,AFC-SOUTH,13,1,10,1,short right,11,Regular
4,2014,9,8,2,3117,SD,JAX,1,AFC-WEST,AFC-SOUTH,25,1,10,0,left tackle,-1,Regular
4,2014,9,8,2,3078,SD,JAX,1,AFC-WEST,AFC-SOUTH,24,2,11,1,short left,11,Regular
4,2014,9,8,2,3037,SD,JAX,1,AFC-WEST,AFC-SOUTH,36,1,10,1,short right,4,Regular
4,2014,9,8,2,2998,SD,JAX,1,AFC-WEST,AFC-SOUTH,40,2,6,1,short right,0,Regular
4,2014,9,8,2,2986,SD,JAX,1,AFC-WEST,AFC-SOUTH,40,3,6,1,short middle,5,Regular
4,2014,9,9,2,2927,JAX,SD,0,AFC-SOUTH,AFC-WEST,2,1,10,1,Sack,-6,Regular
4,2014,9,9,2,2916,JAX,SD,0,AFC-SOUTH,AFC-WEST,34,2,16,1,short right,0,Regular
4,2014,9,9,2,2875,JAX,SD,0,AFC-SOUTH,AFC-WEST,34,3,16,1,short right,5,Regular
4,2014,9,10,2,2826,SD,JAX,1,AFC-WEST,AFC-SOUTH,40,1,10,1,short right,12,Regular
4,2014,9,10,2,2820,SD,JAX,1,AFC-WEST,AFC-SOUTH,62,1,10,1,short right,1,Regular
4,2014,9,10,2,2814,SD,JAX,1,AFC-WEST,AFC-SOUTH,63,2,9,1,short right,4,Regular
4,2014,9,10,2,2779,SD,JAX,1,AFC-WEST,AFC-SOUTH,68,3,5,1,short right,0,Regular
4,2014,9,10,2,2769,SD,JAX,1,AFC-WEST,AFC-SOUTH,62,3,10,1,deep left,43,Regular
4,2014,9,11,2,2753,JAX,SD,0,AFC-SOUTH,AFC-WEST,18,1,10,1,deep middle,0,Regular
4,2014,9,11,2,2748,JAX,SD,0,AFC-SOUTH,AFC-WEST,18,2,10,0,left tackle,3,Regular
4,2014,9,11,2,2708,JAX,SD,0,AFC-SOUTH,AFC-WEST,21,3,7,0,right tackle,2,Regular
4,2014,9,12,3,2700,SD,JAX,1,AFC-WEST,AFC-SOUTH,13,1,10,0,left tackle,3,Regular
4,2014,9,12,3,2674,SD,JAX,1,AFC-WEST,AFC-SOUTH,16,2,7,0,center,2,Regular
4,2014,9,12,3,2635,SD,JAX,1,AFC-WEST,AFC-SOUTH,18,3,5,1,short left,15,Regular
4,2014,9,12,3,2602,SD,JAX,1,AFC-WEST,AFC-SOUTH,35,1,10,0,left tackle,-3,Regular
4,2014,9,12,3,2563,SD,JAX,1,AFC-WEST,AFC-SOUTH,31,2,13,1,deep right,22,Regular
4,2014,9,12,3,2524,SD,JAX,1,AFC-WEST,AFC-SOUTH,64,1,10,1,short middle,17,Regular
4,2014,9,12,3,2489,SD,JAX,1,AFC-WEST,AFC-SOUTH,83,1,10,1,short right,0,Regular
4,2014,9,12,3,2480,SD,JAX,1,AFC-WEST,AFC-SOUTH,83,2,10,1,short left,0,Regular
4,2014,9,12,3,2475,SD,JAX,1,AFC-WEST,AFC-SOUTH,83,3,10,1,deep right,24,Regular
4,2014,9,13,3,2463,JAX,SD,0,AFC-SOUTH,AFC-WEST,21,1,10,0,left tackle,4,Regular
4,2014,9,13,3,2430,JAX,SD,0,AFC-SOUTH,AFC-WEST,26,2,6,1,short right,5,Regular
4,2014,9,13,3,2391,JAX,SD,0,AFC-SOUTH,AFC-WEST,31,3,1,0,right tackle,5,Regular
4,2014,9,14,3,2358,SD,JAX,1,AFC-WEST,AFC-SOUTH,60,1,15,1,short right,10,Regular
4,2014,9,14,3,2335,SD,JAX,1,AFC-WEST,AFC-SOUTH,71,2,5,0,center,4,Regular
